AW.UN,"A&W Revenue Rylty Un"
FAP,"Aberdeen Asia-Pacifc"
AAB,"Aberdeen Int'l. J"
ABT,"Absolute Software J"
ADN,"Acadian Timber Corp."
AEF,"Acasta Entrpr Cl B"
AEF.WT,"Acasta Entrpr Wt"
ACD,"Accord Financial"
ASP,"Acerus Pharma Corp J"
DRX,"ADF Group Inc. SV"
AAV,"Advantage Oil & Gas"
AHY.UN,"Advntg Cdn HiYld Bnd"
ARE,"Aecon Group Inc."
ARE.DB.B,"Aecon Group 5.5% Deb"
AEZS,"AEterna Zentaris Inc"
AOI,"Africa Oil Corp. J"
AFN,"Ag Growth Int'l Inc."
AFN.DB.A,"Ag Growth IntlConvDb"
AFN.DB.B,"Ag Growth Intl ExtDb"
AFN.DB.C,"Ag Growth Intl2020Db"
AFN.DB.D,"AG Growth Intl4.85Db"
ACR.UN,"Agellan Commercl Un"
AGF.B,"AGF Management B NV"
AJX,"AgJunction Inc."
AEM,"Agnico Eagle Mines"
AGU,"Agrium Inc."
AGT,"AGT Food&Ingredients"
AIM,"Aimia Inc."
AIM.PR.A,"Aimia Inc. Ser 1 Pr"
AIM.PR.B,"Aimia Inc. Ser 2 Pr"
AIM.PR.C,"Aimia Inc. Ser 3 Pr"
AC,"Air Canada Vote & VV"
BOS,"Airboss of America J"
AKT.A,"Akita Drill Cl A NV"
AKT.B,"Akita Drilling Cl B"
ASR,"Alacer Gold Corp. J"
AGI,"Alamos Gold Inc. J"
AGI.WT,"Alamos Gold Inc Wt J"
AGI.WT.A,"Alamos Gold Wt A J"
AD,"Alaris Royalty Corp."
AF,"AlarmForce Ind J"
IRON,"Alderon Iron Ore J"
AXR,"Alexco Resource J"
ALC,"Algoma Central Corp"
ALC.DB.A,"Algoma Centrl 5.25Db"
AQN,"Algonquin Pwr & Util"
AQN.PR.A,"Algonquin Pwr A Pr"
AQN.PR.D,"Algonquin Pwr D Pr"
AQY.A,"Alignvest AcquisA RV"
AQY.WT,"Alignvest AcquisJ Wt"
ATD.A,"Alimentation Cl A MV"
ATD.B,"Alimentation Cl B SV"
ALO,"Alio Gold Inc. J"
ALO.WT,"Alio Gold J Wt"
ALO.WT.A,"Alio Gold J Wt A"
ABK.A,"Allbanc Split A Cap"
ABK.PR.C,"Allbanc Split Pr C"
ALB,"Allbanc Splt 2 Cap A"
ALB.PR.C,"Allbanc Splt II Pr 2"
AP.UN,"Allied Prop. REIT Un"
AMM,"Almaden Minerals"
ALA,"AltaGas Ltd."
ALA.PR.A,"AltaGas Ltd Sr A Pr"
ALA.PR.B,"AltaGas Ltd Sr B Pr"
ALA.PR.E,"AltaGas Ltd Sr E Pr"
ALA.PR.G,"AltaGas Ltd Sr G Pr"
ALA.PR.I,"AltaGas Ltd Sr I Pr"
ALA.PR.K,"AltaGas Ltd Sr K Pr"
ALA.PR.U,"AltaGas Ltd C Pr USF"
ALA.R,"AltaGas Ltd Subs Rec"
AXY,"Alterra Power Corp J"
ALS,"Altius Minerals Corp"
ALS.PR.A,"Altius Minerals Pr"
AIF,"Altus Group Limited"
ACZ.UN,"Americn CoreSecDivUn"
HOT.DB.U,"American Hotl Deb US"
HOT.UN,"American Hotl LP Un"
USA,"Americas Silver J"
ARG,"Amerigo Resources J"
ANX,"Anaconda Mining J"
ADW.A,"Andrew Peller A NV"
ADW.B,"Andrew Peller Ltd. B"
APY,"Anglo Pacific Ord"
APH,"Aphria Inc. J"
APS,"Aptose Biosciences"
AQA,"Aquila Resources J"
ARZ,"Aralez PharmaceutclJ"
